AREA,N,20,5;PERIMETER,N,20,5;GEM_,N,11,0;GEM_ID,N,11,0;SHN,C,12;RAU,C,12;USE,N,2,0;KEY,C,8;GEN,C,50;DES,C,50
0.00290583101889219;0.374171483682953;76;76;0105940181;0105940181;6;01059181;Sankelmark;Landgemeinde (amtsangehörig)
0.00127048775288202;0.183223436592671;77;77;0105919103;0105919103;6;01059103;Ausacker;Landgemeinde (amtsangehörig)
0.00037976339475565;0.0888346195837449;78;78;0105419025;0105419025;6;01054025;Dunsum;Landgemeinde (amtsangehörig)
0.00126125731798143;0.181152269671398;79;79;0105419005;0105419005;6;01054005;Alkersum;Landgemeinde (amtsangehörig)
0.00252114565835774;0.42494826242781;80;80;0105971109;0105971109;6;01059109;Esgrus;Landgemeinde (amtsangehörig)
0.0034018018225539;0.415154095007165;81;81;0105433167;0105433167;6;01054167;Enge-Sande;Landgemeinde (amtsangehörig)
0.00238151072794933;0.370916786088051;82;82;0105971167;0105971167;6;01059167;Sterup;Landgemeinde (amtsangehörig)
0.00742828928609351;0.588573949813665;83;83;0105952179;0105952179;6;01059179;Lindewitt;Landgemeinde (amtsangehörig)
0.00420969709205954;0.313808557085022;84;84;0105952115;0105952115;6;01059115;Großenwiehe;Landgemeinde (amtsangehörig)
0.00157735919477869;0.270778209729465;85;85;0105913121;0105913121;6;01059121;Hasselberg;Landgemeinde (amtsangehörig)
0.0024139597125501;0.333728768811011;86;86;0105465010;0105465010;6;01054010;Bargum;Landgemeinde (amtsangehörig)
0.000806973829780774;0.15056107707466;87;87;0105913155;0105913155;6;01059155;Rabenholz;Landgemeinde (amtsangehörig)
0.00073249366821334;0.137140987708418;88;88;0105419143;0105419143;6;01054143;Utersum;Landgemeinde (amtsangehörig)
0.0010525853651786;0.193527549518491;89;89;0105419163;0105419163;6;01054163;Wrixum;Landgemeinde (amtsangehörig)
0.000361597877893471;0.102596220885568;90;90;0105419129;0105419129;6;01054129;Süderende;Landgemeinde (amtsangehörig)
0.00349485218810663;0.37095175676928;91;91;0105919116;0105919116;6;01059116;Großsolt;Landgemeinde (amtsangehörig)
0.00110773908425132;0.218802026066513;92;92;0105400164;0105400164;6;01054164;Wyk auf Föhr;Stadt (kreisangehörig)
0.00118836357643204;0.199363799952871;93;93;0105913142;0105913142;6;01059142;Maasholm;Landgemeinde (amtsangehörig)
0.00660131098715588;0.585108839396099;94;94;0105465075;0105465075;6;01054075;Langenhorn;Landgemeinde (amtsangehörig)
0.000768599195060893;0.166432763875104;95;95;0105419015;0105419015;6;01054015;Borgsum;Landgemeinde (amtsangehörig)
0.00228540987000891;0.312128070459754;96;96;0105913168;0105913168;6;01059168;Stoltebüll;Landgemeinde (amtsangehörig)
0.00185426101871689;0.278176895568833;97;97;0105419098;0105419098;6;01054098;Oldsum;Landgemeinde (amtsangehörig)
0.0033377626181057;0.3951060441264;98;98;0105949071;0105949071;6;01059071;Satrup;Landgemeinde (amtsangehörig)
0.000528939206530243;0.128112657535603;99;99;0105971102;0105971102;6;01059102;Ahneby;Landgemeinde (amtsangehörig)
0.00214340424645226;0.254724529618709;100;100;0105940150;0105940150;6;01059150;Oeversee;Landgemeinde (amtsangehörig)
0.00398702813702209;0.311928391531832;101;101;0105912174;0105912174;6;01059174;Wanderup;Landgemeinde (amtsangehörig)
0.00109111567120124;0.216872658887407;102;102;0105403089;0105403089;6;01054089;Norddorf;Landgemeinde (amtsangehörig)
0.00109305191148157;0.20527308351195;103;103;0105419087;0105419087;6;01054087;Nieblum;Landgemeinde (amtsangehörig)
0.00123193668818011;0.171420958248378;104;104;0105913154;0105913154;6;01059154;Rabel;Landgemeinde (amtsangehörig)
0.00207099201198568;0.343175432113176;105;105;0105949038;0105949038;6;01059038;Havetoftloit;Landgemeinde (amtsangehörig)
0.000220709272762416;0.0745834618013688;106;106;0105419158;0105419158;6;01054158;Witsum;Landgemeinde (amtsangehörig)
0.00139017024945494;0.260926132361819;107;107;0105913163;0105913163;6;01059163;Stangheck;Landgemeinde (amtsangehörig)
0.00223660891707045;0.297825100222488;108;108;0105940171;0105940171;6;01059171;Tarp;Landgemeinde (amtsangehörig)
0.00141715643206819;0.178840546719843;109;109;0105411037;0105411037;6;01054037;Goldebek;Landgemeinde (amtsangehörig)
0.00597930876975639;0.571682605682249;110;110;0105900045;0105900045;6;01059045;Kappeln;Stadt (kreisangehörig)
0.00148951307899181;0.179570750767964;111;111;0105411080;0105411080;6;01054080;Lütjenholm;Landgemeinde (amtsangehörig)
0.0016742072695452;0.174202516001421;112;112;0105411038;0105411038;6;01054038;Goldelund;Landgemeinde (amtsangehörig)
0.00200756998706658;0.321881451549355;113;113;0105974060;0105974060;6;01059060;Mohrkirch;Landgemeinde (amtsangehörig)
0.000850104927535789;0.154238919339385;114;114;0105949069;0105949069;6;01059069;Rüde;Landgemeinde (amtsangehörig)
0.00249185505965777;0.265514334261697;115;115;0105465093;0105465093;6;01054093;Ockholm;Landgemeinde (amtsangehörig)
0.00098685852781788;0.203229996325084;116;116;0105920067;0105920067;6;01059067;Oersberg;Landgemeinde (amtsangehörig)
0.00088221669247765;0.265922195666933;117;117;0105974074;0105974074;6;01059074;Scheggerott;Landgemeinde (amtsangehörig)
0.00187960202826787;0.242391630088273;118;118;1306117029;1306117029;6;13061029;Putgarten;amtsangehörige Gemeinde
0.0022750459044012;0.2471260403082;119;119;0105912131;0105912131;6;01059131;Jerrishoe;Landgemeinde (amtsangehörig)
0.00112804796434586;0.31528214602012;120;120;0105974072;0105974072;6;01059072;Saustrup;Landgemeinde (amtsangehörig)
0.00313323417764577;0.358530458536005;121;121;1306117002;1306117002;6;13061002;Altenkirchen;amtsangehörige Gemeinde
0.00431644360845362;0.329697367684674;122;122;0105940159;0105940159;6;01059159;Sieverstedt;Landgemeinde (amtsangehörig)
0.00482906679373585;0.494312918623071;123;123;0105465014;0105465014;6;01054014;Bordelum;Landgemeinde (amtsangehörig)
0.000783679584398955;0.206776033464977;124;124;0105974095;0105974095;6;01059095;Wagersrott;Landgemeinde (amtsangehörig)
0.00149383816338558;0.271120860527795;125;125;0105949076;0105949076;6;01059076;Schnarup-Thumby;Landgemeinde (amtsangehörig)
0.0023069535042255;0.243981781476267;126;126;0105403085;0105403085;6;01054085;Nebel;Landgemeinde (amtsangehörig)
0.000835819911828267;0.197868055137016;127;127;0105974070;0105974070;6;01059070;Rügge;Landgemeinde (amtsangehörig)
0.00302991438343292;0.509740126517695;128;128;1306117008;1306117008;6;13061008;Dranske;amtsangehörige Gemeinde
0.00266332090142618;0.271900940269958;129;129;0105411059;0105411059;6;01054059;Joldelund;Landgemeinde (amtsangehörig)
0.00226291092856329;0.231384266865238;130;130;0105411045;0105411045;6;01054045;Högel;Landgemeinde (amtsangehörig)
0.00189853252471642;0.296170805927063;131;131;0105974006;0105974006;6;01059006;Böel;Landgemeinde (amtsangehörig)
0.00172767369818897;0.418740134726626;132;132;0105459074;0105459074;6;01054074;Langeneß;Landgemeinde (amtsangehörig)
0.00197447638279952;0.303220668632564;133;133;0105920068;0105920068;6;01059068;Rabenkirchen-Faulück;Landgemeinde (amtsangehörig)
0.0036046619226488;0.389888035277934;134;134;1306117043;1306117043;6;13061043;Wiek;amtsangehörige Gemeinde
0.00272991751337948;0.269652023091888;135;135;0105453079;0105453079;6;01054079;Löwenstedt;Landgemeinde (amtsangehörig)
0.000558265650488443;0.240478929399146;136;136;0105974063;0105974063;6;01059063;Norderbrarup;Landgemeinde (amtsangehörig)
0.00273809931902358;0.310800941295026;137;137;0105912132;0105912132;6;01059132;Jörl;Landgemeinde (amtsangehörig)
0.00201469962084733;0.203654280029007;138;138;0105912128;0105912128;6;01059128;Janneby;Landgemeinde (amtsangehörig)
0.00507516191154042;0.423772072479859;139;139;0105400108;0105400108;6;01054108;Reußenköge;Landgemeinde (amtsfrei)
0.000925821027559157;0.190909819371415;140;140;0105920034;0105920034;6;01059034;Grödersby;Landgemeinde (amtsangehörig)
0.0014799503342956;0.227676206968686;141;141;0105910093;0105910093;6;01059093;Ülsby;Landgemeinde (amtsangehörig)
0.000692571262671526;0.138133800898268;142;142;0105974021;0105974021;6;01059021;Dollrottfeld;Landgemeinde (amtsangehörig)
0.0013791635996645;0.229214598158797;143;143;0105400019;0105400019;6;01054019;Bredstedt;Stadt (kreisangehörig)
0.00112755558735267;0.191099242324907;144;144;0105974083;0105974083;6;01059083;Süderbrarup;Landgemeinde (amtsangehörig)
0.00135476131643528;0.228166831171158;145;145;0105876032;0105876032;6;01058032;Brodersby;Landgemeinde (amtsangehörig)
0.00231793071351945;0.243165823075008;146;146;0105912107;0105912107;6;01059107;Eggebek;Landgemeinde (amtsangehörig)
0.000969811564209722;0.182513772724931;147;147;0105974014;0105974014;6;01059014;Brebel;Landgemeinde (amtsangehörig)
0.000573674271087343;0.127204328192276;148;148;0105411121;0105411121;6;01054121;Sönnebüll;Landgemeinde (amtsangehörig)
0.0011150360842529;0.178505524291958;149;149;0105974022;0105974022;6;01059022;Ekenis;Landgemeinde (amtsangehörig)
0.00109513728303939;0.265884354942799;150;150;0105910049;0105910049;6;01059049;Klappholz;Landgemeinde (amtsangehörig)
0.000283614349701783;0.0917568974738259;151;151;0105459039;0105459039;6;01054039;Gröde;Landgemeinde (amtsangehörig)
0.000860343575120215;0.151154387447853;152;152;0105411146;0105411146;6;01054146;Vollstedt;Landgemeinde (amtsangehörig)
0.00186061184876385;0.306276269150273;153;153;0105910082;0105910082;6;01059082;Struxdorf;Landgemeinde (amtsangehörig)
0.000912073371782451;0.225437044348924;154;154;0105403160;0105403160;6;01054160;Wittdün;Landgemeinde (amtsangehörig)
0.00183198696977405;0.248124385301512;155;155;0105912138;0105912138;6;01059138;Langstedt;Landgemeinde (amtsangehörig)
0.000292629019843949;0.0958140593914559;156;156;0105411071;0105411071;6;01054071;Kolkerheide;Landgemeinde (amtsangehörig)
0.000286439831119006;0.158453360790971;157;157;0105876087;0105876087;6;01058087;Karby;Landgemeinde (amtsangehörig)
0.00206367562951573;0.308893238607601;158;158;0105910037;0105910037;6;01059037;Havetoft;Landgemeinde (amtsangehörig)
0.0000626213397988407;0.0394448382031947;159;159;0105920002;0105920002;6;01059002;Arnis;Stadt (amtsangehörig)
0.00173886045576821;0.266467619210939;160;160;0105984097;0105984097;6;01059097;Twedt;Landgemeinde (amtsangehörig)
0.00257924745729891;0.385599539729245;161;161;0105974011;0105974011;6;01059011;Boren;Landgemeinde (amtsangehörig)
0.00152288836553055;0.204759277773183;162;162;0105453123;0105453123;6;01054123;Sollwitt;Landgemeinde (amtsangehörig)
0.00140320360453772;0.213283985692368;163;163;0105411020;0105411020;6;01054020;Breklum;Landgemeinde (amtsangehörig)
0.00228106362101688;0.385330646080672;164;164;1306117006;1306117006;6;13061006;Breege;amtsangehörige Gemeinde
0.00245752421350343;0.24731331722453;165;165;0105411024;0105411024;6;01054024;Drelsdorf;Landgemeinde (amtsangehörig)
0.000443313386307542;0.11309718471973;166;166;0105974065;0105974065;6;01059065;Nottfeld;Landgemeinde (amtsangehörig)
0.000931100755154679;0.165165056077073;167;167;0105974055;0105974055;6;01059055;Loit;Landgemeinde (amtsangehörig)
0.00208514825351491;0.281067611460043;168;168;0105876042;0105876042;6;01058042;Dörphof;Landgemeinde (amtsangehörig)
0.00109511486446189;0.218776956925257;169;169;0105910008;0105910008;6;01059008;Böklund;Landgemeinde (amtsangehörig)
0.00121759791205722;0.182482204379772;170;170;0105974080;0105974080;6;01059080;Steinfeld;Landgemeinde (amtsangehörig)
0.00133052423389274;0.228427690751109;171;171;0105876174;0105876174;6;01058174;Winnemark;Landgemeinde (amtsangehörig)
0.0018704442034797;0.180106979926519;172;172;0105453092;0105453092;6;01054092;Norstedt;Landgemeinde (amtsangehörig)
0.00375625740099483;0.309136889544647;173;173;0105964010;0105964010;6;01059010;Bollingstedt;Landgemeinde (amtsangehörig)
0.00380673683965885;0.505695265761488;174;174;0105876162;0105876162;6;01058162;Thumby;Landgemeinde (amtsangehörig)
0.00202469592356946;0.292220689150816;175;175;0105910081;0105910081;6;01059081;Stolk;Landgemeinde (amtsangehörig)
0.00177607970106131;0.191415582127403;176;176;0105453041;0105453041;6;01054041;Haselund;Landgemeinde (amtsangehörig)
0.000506039904479356;0.160050583561077;177;177;0105974047;0105974047;6;01059047;Kiesby;Landgemeinde (amtsangehörig)
0.00180331753889484;0.276279605782912;178;178;0105912162;0105912162;6;01059162;Sollerup;Landgemeinde (amtsangehörig)
0.00146197443140783;0.254331069093083;179;179;0105984090;0105984090;6;01059090;Tolk;Landgemeinde (amtsangehörig)
0.00242644085156537;0.650464622137617;180;180;1306100017;1306100017;6;13061017;Insel Hiddensee;amtsfreie Gemeinde
0.00274275140614666;0.315850783888265;181;181;0105974094;0105974094;6;01059094;Ulsnis;Landgemeinde (amtsangehörig)
0.00126843181581116;0.30611393418719;182;182;0105910084;0105910084;6;01059084;Süderfahrenstedt;Landgemeinde (amtsangehörig)
0.00124241202939057;0.213348268512183;183;183;0105411128;0105411128;6;01054128;Struckum;Landgemeinde (amtsangehörig)
0.00141003534012329;0.176690491874552;184;184;0105912169;0105912169;6;01059169;Süderhackstedt;Landgemeinde (amtsangehörig)
0.000791061668217186;0.146842391317392;185;185;0105411006;0105411006;6;01054006;Almdorf;Landgemeinde (amtsangehörig)
0.00186919722535797;0.305032849577165;186;186;0105959042;0105959042;6;01059042;Idstedt;Landgemeinde (amtsangehörig)
0.00186108044665478;0.227572261919717;187;187;0105411012;0105411012;6;01054012;Bohmstedt;Landgemeinde (amtsangehörig)
0.00191167308838679;0.24651744286864;188;188;0105876040;0105876040;6;01058040;Damp;Landgemeinde (amtsangehörig)
0.00189870413152549;0.225994894068926;189;189;0105984086;0105984086;6;01059086;Taarstedt;Landgemeinde (amtsangehörig)
0.00263321580436071;0.295496348632814;190;190;0105453144;0105453144;6;01054144;Viöl;Landgemeinde (amtsangehörig)
0.0052632298776657;0.623639997318123;191;191;0105964079;0105964079;6;01059079;Silberstedt;Landgemeinde (amtsangehörig)
